name,price,status,shipping,free_returns,items_sold
DONALD TRUMP SIGNED 8X10 PHOTO 45TH PRESIDENT OF THE USA WAVE W/COA+PROOF,70000,Brand New,0,False,
,,,,False,
Jeb Bush Gov FL Signed Autograph 2016 Presidential Campaign Sign Placard PSA COA,4999,Brand New,1000,False,
Corky Messner NH Senate Candidate Autograph Signed Donald Trump Placard Sign ,3999,Brand New,1000,False,
"HILLARY CLINTON SIGNED ""IT TAKES A VILLAGE"" BOOK 1ST EDITION DONALD TRUMP PREZ",25000,Brand New,0,False,
"""45th U.S. President"" Donald Trump Hand Signed 10X8 Color Photo Todd Mueller COA",129999,,0,False,
DECISION 2020 TRADING CARD POLITICAL PRES DONALD TRUMP SKETCH EXTREME RARE 1/1 ,39999,Brand New,399,False,
PRESIDENT DONALD TRUMP SIGNED TIME MAGAZINE POTUS 2020 AMERICA JSA ,180000,Brand New,1065,False,
DONALD TRUMP SIGNED AUTOGRAPHED CRIPPLED AMERICA HARDCOVER BOOK PRESIDENT JSA,134995,,1500,False,0
DONALD TRUMP JR SIGNED Framed PHOTO JSA COA MAGA 2024 AMERICA REPUBLICAN,25000,Brand New,1500,False,
PRESIDENT DONALD TRUMP WHITE MATTED PHOTO OF NEWSPAPER FRONT PAGE DAY AFTER,1095,Brand New,225,False,0
"President Donald Trump 8 1/2"" x 11 on Card Stock..Prayer, Photo, Picture + Decal",1489,Brand New,,True,0
PRESIDENT DONALD J. TRUMP SIGNED 8x10 PHOTO B #45 REPUBLICAN BECKETT COA BAS,229999,,0,False,
COMBO DONALD TRUMP JR. AUTOGRAPHED BOOKS TRIGGERED & LIBERAL PRIVILEGE W/COA🇺🇲,12999,Brand New,1995,False,
Donald Trump President POTUS 45th Signed 8x10 Photo MAGA USA W/ DG COA (B),39999,,750,False,
"""45th U.S. President"" Donald Trump Hand Signed 10X8 Color Photo Todd Mueller COA",129999,,0,False,
"*ONE OF A KIND* ""45th U.S. President"" Donald Trump Hand Signed Mask PAAS COA",499999,,0,False,
Donald Trump Signed Novelty $2 Bill PSA Encapsulated COA,300000,Brand New,0,False,
SIGNED by President Donald Trump : The Art of the Deal Book  softcover autograph,299999,Brand New,0,False,
2020 Decision Premium Cut Factory Sealed Box/Case Auto Signed Donald Trump~Obama,449995,,3995,False,0
RUDY GUILIANI SIGNED BASEBALL DONALD TRUMP NYC MAYOR W/COA+PROOF RARE WOW,11000,Brand New,0,False,
Donald Trump & Mike Pence Pre-printed Autographed 8x10 Photo - FREE SHIPPING,599,Brand New,0,False,87
Ivanka Trump Signed 11x14 Photo PSA COA Auto Autograph Signature Donald Daughter,79999,,1999,False,0
"WIRE FENCE piece from the DMZ, South Korea, Korean War, Kim Jong Un Donald Trump",1445,,0,False,
Donald Trump - Important Letter Signed - On Early Development of Mar-A-Lago,225000,,0,False,
45th President Donald Trump Make America Great Again Signed 8x10 Photo GA COA,59999,,,False,
45th PRESIDENT DONALD J. TRUMP SIGNED OFFICIAL RAWLINGS MLB BASEBALL w/JSA RARE,249999,Brand New,1000,False,
Donald J. Trump Authentic Signed Titleist Golf Ball Autographed JSA #BB16496,79999,Brand New,1599,False,
PRESIDENT DONALD TRUMP WHITE MATTED PHOTO OF PRESIDENTIAL ACCEPTANCE SPEECH #2,1095,Brand New,225,False,
Donald Trump Signed Autographed President Billionaire Collector's Edition Auto,65000,,800,False,
"Donald Trump Hand Signed Photo / Framed Authentic, PROOF Signing Photo/ #  COA",75000,Pre-Owned,5500,False,
"HILLARY CLINTON SIGNED ""IT TAKES A VILLAGE"" BOOK 1ST EDITION DONALD TRUMP AUTO B",25000,Brand New,0,False,
"Ted Cruz Texas Autograph Signed 5"" x 4"" 2016 Presidential Campaign Decal",2900,Brand New,400,False,
PRESIDENT DONALD TRUMP WHITE MATTED PHOTO OF PRESIDENTIAL ACCEPTANCE SPEECH,1795,Brand New,325,False,
"Donald Trump & Ron Regan 8 1/2""x11 on Card Stock.. Photo Portrait Picture +Decal",1489,Brand New,,True,0
PRESIDENT DONALD J. TRUMP SIGNED FRAMED 11x14 PHOTO AMERICA MAGA w/JSA,249999,Brand New,16500,False,
"Donald Trump 8 1/2""x11 on Card Stock..No Dream is to Big.. Photo, Picture +Decal",1489,Brand New,,True,
45th PRESIDENT DONALD J. TRUMP SIGNED OFFICIAL RAWLINGS MLB BASEBALL w/JSA RARE,249999,Brand New,1000,False,
Donald Trump Signed Think Like A Billionaire book MINT UNREAD SHARP CORNERS New,54900,,1200,False,
Donald Trump Engraved Nameplate For A Signed Campaign Poster Or Photo 1.5X8,750,Brand New,350,False,
"ANTHONY SCARAMUCCI SIGNED ""GOODBYE GORDON GEKKO"" BOOK 1STED DONALD TRUMP  MOOCH",6500,Brand New,0,False,
MITCH MCCONNELL SIGNED AUTOGRAPH   8X10 PHOTO DONALD TRUMP  MAJORITY LEADER,7877,Brand New,1125,False,
45th PRESIDENT DONALD J. TRUMP SIGNED NEW YORK YANKEES BASEBALL HAT w/JSA RARE,199999,Brand New,1000,False,
"President Donald Trump, Ivanka and Donald Jr. 8x10 Photo - FREE SHIPPING",599,Brand New,0,False,
President Donald Trump signed Casino Chip JSA LOA Taj Mahal Rare Item Z598,249900,,2489,False,
president DONALD TRUMP signed auto MATTED/FRAMED 14X20 MAGA rally photo PSA/DNA,149900,,,False,
"President Donald Trump 8 1/2"" x 11 on Card Stock...Photo Portrait Picture + $100",1489,Brand New,,True,41
Autographed Donald Trump Newsweek Cover To Dennis Rodman Insc JSA Signed Letter,399500,Brand New,0,False,
